,conv_ID,probs,lat,long
0,532,"['Health Care Access', 'Wellness', 'mental health']",40.71455,-74.00714
1,532,"['Community Cohesion', 'community members', 'Policy', 'elected officials']",40.71455,-74.00714
2,532,"['Health Care Access', 'Wellness', 'Community Cohesion', 'Accessibility']",40.71455,-74.00714
3,532,"['Community Cohesion', 'Trust']",40.71455,-74.00714
4,532,[],40.71455,-74.00714
5,532,[],40.71455,-74.00714
6,532,[],40.71455,-74.00714
7,532,[],40.71455,-74.00714
8,532,[],40.71455,-74.00714
9,532,[],40.71455,-74.00714
10,532,[],40.71455,-74.00714
11,532,[],40.71455,-74.00714
12,532,[],40.71455,-74.00714
13,532,"['Trust', 'programs']",40.71455,-74.00714
14,532,[],40.71455,-74.00714
15,532,"['Community Cohesion', 'community members']",40.71455,-74.00714
16,532,"['Policy', 'Health Care Access', 'Wellness', 'Exercise', 'mental health']",40.71455,-74.00714
17,532,[],40.71455,-74.00714
18,532,"['Community Cohesion', 'TGNC', 'gender identity', 'Trust']",40.71455,-74.00714
19,532,[],40.71455,-74.00714
20,532,['Community Cohesion'],40.71455,-74.00714
21,532,[],40.71455,-74.00714
22,532,"['programs', 'Community Cohesion', 'Trust']",40.71455,-74.00714
23,532,[],40.71455,-74.00714
24,532,"['community members', 'Health Care Access', 'Wellness']",40.71455,-74.00714
25,532,"['Health Care Access', 'Wellness']",40.71455,-74.00714
26,532,[],40.71455,-74.00714
27,532,"['Health Care Access', 'Wellness', 'teenagers', 'Parents', 'families', 'community members', 'Trust', 'Education']",40.71455,-74.00714
28,532,[],40.71455,-74.00714
29,532,[],40.71455,-74.00714
30,532,"['Parents', 'families', 'community members', 'cancer', 'Community Cohesion', 'Economic stability', 'Exercise']",40.71455,-74.00714
31,532,"['Exercise', 'Community Cohesion', 'mental health', 'Economic stability', 'Parents', 'families', 'community members']",40.71455,-74.00714
32,532,[],40.71455,-74.00714
33,532,"['Health Care Access', 'Wellness', 'caretaker', 'age', 'Physical symptoms', 'mental health', 'Disabilities', 'Community Cohesion']",40.71455,-74.00714
34,532,"['Economic stability', 'Trust', 'Exercise', 'mental health']",40.71455,-74.00714
35,532,[],40.71455,-74.00714
36,532,"['Health Care Access', 'Wellness']",40.71455,-74.00714
37,532,"['Community Cohesion', 'Health Care Access', 'Wellness']",40.71455,-74.00714
38,532,['Wellness'],40.71455,-74.00714
39,532,[],40.71455,-74.00714
40,532,"['age', 'Physical symptoms', 'Exercise', 'Wellness', 'Health Care Access', 'mental health']",40.71455,-74.00714
41,532,[],40.71455,-74.00714
42,532,"['Health Care Access', 'Wellness', 'Exercise']",40.71455,-74.00714
43,532,"['Health Care Access', 'Wellness', 'Community Cohesion', 'community members']",40.71455,-74.00714
44,532,[],40.71455,-74.00714
